must_have,unavailable,trials,feasible,feasibility_rate,skipped_impossible_to_generate
0,0,15,15,1.0,0
0,5,15,15,1.0,0
0,10,15,15,1.0,0
0,15,15,15,1.0,0
0,18,15,15,1.0,0
0,20,15,15,1.0,0
0,22,15,15,1.0,0
0,25,15,15,1.0,0
0,27,15,15,1.0,0
0,30,15,15,1.0,0
0,33,15,8,0.5333333333333333,0
0,35,15,3,0.2,0
0,36,15,0,0.0,0
2,0,15,15,1.0,0
2,5,15,15,1.0,0
2,10,15,15,1.0,0
2,15,15,15,1.0,0
2,18,15,15,1.0,0
2,20,15,15,1.0,0
2,22,15,15,1.0,0
2,25,15,15,1.0,0
2,27,15,15,1.0,0
2,30,15,14,0.9333333333333333,0
2,33,15,11,0.7333333333333333,0
2,35,15,1,0.06666666666666667,0
2,36,15,0,0.0,0
5,0,15,15,1.0,0
5,5,15,15,1.0,0
5,10,15,15,1.0,0
5,15,15,15,1.0,0
5,18,15,15,1.0,0
5,20,15,15,1.0,0
5,22,15,15,1.0,0
5,25,15,15,1.0,0
5,27,15,15,1.0,0
5,30,15,15,1.0,0
5,33,15,9,0.6,0
5,35,15,0,0.0,0
5,36,15,0,0.0,0
8,0,15,13,0.8666666666666667,0
8,5,15,14,0.9333333333333333,0
8,10,15,15,1.0,0
8,15,15,15,1.0,0
8,18,15,12,0.8,0
8,20,15,15,1.0,0
8,22,15,13,0.8666666666666667,0
8,25,15,14,0.9333333333333333,0
8,27,15,15,1.0,0
8,30,15,15,1.0,0
8,33,15,8,0.5333333333333333,0
8,35,15,0,0.0,0
8,36,15,0,0.0,0
10,0,15,13,0.8666666666666667,0
10,5,15,14,0.9333333333333333,0
10,10,15,14,0.9333333333333333,0
10,15,15,15,1.0,0
10,18,15,14,0.9333333333333333,0
10,20,15,14,0.9333333333333333,0
10,22,15,15,1.0,0
10,25,15,14,0.9333333333333333,0
10,27,15,14,0.9333333333333333,0
10,30,15,13,0.8666666666666667,0
10,33,15,11,0.7333333333333333,0
10,35,15,0,0.0,0
10,36,15,0,0.0,0
13,0,15,10,0.6666666666666666,0
13,5,15,13,0.8666666666666667,0
13,10,15,14,0.9333333333333333,0
13,15,15,12,0.8,0
13,18,15,14,0.9333333333333333,0
13,20,15,13,0.8666666666666667,0
13,22,15,9,0.6,0
13,25,15,10,0.6666666666666666,0
13,27,15,13,0.8666666666666667,0
13,30,15,13,0.8666666666666667,0
13,33,15,11,0.7333333333333333,0
13,35,15,0,0.0,0
13,36,15,0,0.0,0
15,0,15,7,0.4666666666666667,0
15,5,15,12,0.8,0
15,10,15,14,0.9333333333333333,0
15,15,15,11,0.7333333333333333,0
15,18,15,11,0.7333333333333333,0
15,20,15,12,0.8,0
15,22,15,13,0.8666666666666667,0
15,25,15,10,0.6666666666666666,0
15,27,15,12,0.8,0
15,30,15,10,0.6666666666666666,0
15,33,15,6,0.4,0
15,35,15,0,0.0,0
15,36,15,0,0.0,0
18,0,15,12,0.8,0
18,5,15,12,0.8,0
18,10,15,8,0.5333333333333333,0
18,15,15,10,0.6666666666666666,0
18,18,15,12,0.8,0
18,20,15,10,0.6666666666666666,0
18,22,15,8,0.5333333333333333,0
18,25,15,10,0.6666666666666666,0
18,27,15,10,0.6666666666666666,0
18,30,15,10,0.6666666666666666,0
18,33,15,5,0.3333333333333333,0
18,35,15,0,0.0,0
18,36,15,0,0.0,0
20,0,15,6,0.4,0
20,5,15,7,0.4666666666666667,0
20,10,15,7,0.4666666666666667,0
20,15,15,10,0.6666666666666666,0
20,18,15,9,0.6,0
20,20,15,7,0.4666666666666667,0
20,22,15,8,0.5333333333333333,0
20,25,15,10,0.6666666666666666,0
20,27,15,11,0.7333333333333333,0
20,30,15,5,0.3333333333333333,0
20,33,15,5,0.3333333333333333,0
20,35,15,1,0.06666666666666667,0
20,36,15,0,0.0,0
25,0,15,6,0.4,0
25,5,15,4,0.26666666666666666,0
25,10,15,5,0.3333333333333333,0
25,15,15,4,0.26666666666666666,0
25,18,15,4,0.26666666666666666,0
25,20,15,4,0.26666666666666666,0
25,22,15,5,0.3333333333333333,0
25,25,15,3,0.2,0
25,27,15,2,0.13333333333333333,0
25,30,15,6,0.4,0
25,33,15,6,0.4,0
25,35,15,0,0.0,0
25,36,15,0,0.0,0
30,0,15,3,0.2,0
30,5,15,0,0.0,0
30,10,15,2,0.13333333333333333,0
30,15,15,3,0.2,0
30,18,15,1,0.06666666666666667,0
30,20,15,3,0.2,0
30,22,15,0,0.0,0
30,25,15,2,0.13333333333333333,0
30,27,15,2,0.13333333333333333,0
30,30,15,3,0.2,0
30,33,15,2,0.13333333333333333,0
30,35,15,0,0.0,0
30,36,15,0,0.0,0
39,0,15,1,0.06666666666666667,0
39,5,15,0,0.0,0
39,10,15,1,0.06666666666666667,0
39,15,15,0,0.0,0
39,18,15,0,0.0,0
39,20,15,0,0.0,0
39,22,15,0,0.0,0
39,25,15,0,0.0,0
39,27,15,0,0.0,0
39,30,15,0,0.0,0
39,33,15,0,0.0,0
39,35,15,0,0.0,0
39,36,15,0,0.0,0
