student,slot 1,slot 2,slot 3
1,Slot 10,Slot 11,
2,Slot 5,Slot 39,Slot 49
3,Slot 4,Slot 8,Slot 66
4,Slot 12,Slot 33,
5,Slot 52,Slot 67,
6,Slot 23,Slot 35,Slot 43
7,Slot 25,Slot 27,Slot 31
8,Slot 3,Slot 28,Slot 50
9,Slot 33,Slot 36,Slot 66
10,Slot 61,Slot 62,
11,Slot 30,Slot 63,
12,Slot 27,Slot 58,Slot 67
13,Slot 9,Slot 60,Slot 63
14,Slot 43,Slot 58,Slot 61
15,Slot 1,Slot 14,Slot 28
16,Slot 4,Slot 47,Slot 56
17,Slot 23,Slot 32,Slot 51
18,Slot 35,Slot 42,Slot 57
19,Slot 15,Slot 36,
20,Slot 29,Slot 39,Slot 44
21,Slot 14,Slot 19,Slot 57
22,Slot 8,Slot 16,Slot 49
23,Slot 5,Slot 45,Slot 56
24,Slot 13,Slot 37,
25,Slot 13,Slot 20,Slot 51
26,Slot 21,Slot 37,Slot 50
27,Slot 2,Slot 6,Slot 20
28,Slot 18,Slot 21,
29,Slot 7,Slot 25,
30,Slot 22,Slot 24,
31,Slot 7,Slot 31,Slot 48
32,Slot 34,Slot 40,Slot 65
33,Slot 26,Slot 42,
34,Slot 22,Slot 62,
35,Slot 3,Slot 9,Slot 15
36,Slot 29,Slot 54,Slot 55
37,Slot 10,Slot 30,
38,Slot 26,Slot 40,
39,Slot 46,Slot 53,
40,Slot 46,Slot 53,Slot 54
41,Slot 19,Slot 32,Slot 38
42,Slot 41,Slot 65,
43,Slot 18,Slot 45,Slot 60
44,Slot 2,Slot 24,Slot 52
45,Slot 16,Slot 38,Slot 44
46,Slot 17,Slot 59,Slot 64
47,Slot 6,Slot 17,Slot 64
48,Slot 1,Slot 41,Slot 59
49,Slot 11,Slot 12,Slot 55
50,Slot 34,Slot 47,Slot 48
