student,slot 1,slot 2,slot 3
1,Slot 37,Slot 52,
2,Slot 33,Slot 40,Slot 50
3,Slot 8,Slot 36,Slot 67
4,Slot 19,Slot 21,
5,Slot 13,Slot 27,Slot 51
6,Slot 28,Slot 35,Slot 43
7,Slot 16,Slot 29,Slot 48
8,Slot 25,Slot 30,Slot 53
9,Slot 30,Slot 33,Slot 66
10,Slot 1,Slot 27,
11,Slot 4,Slot 62,Slot 63
12,Slot 7,Slot 37,Slot 60
13,Slot 58,Slot 60,Slot 61
14,Slot 12,Slot 58,
15,Slot 32,Slot 39,
16,Slot 47,Slot 53,Slot 57
17,Slot 11,Slot 15,Slot 48
18,Slot 22,Slot 39,Slot 42
19,Slot 40,Slot 42,
20,Slot 23,Slot 25,Slot 41
21,Slot 18,Slot 64,
22,Slot 14,Slot 46,Slot 64
23,Slot 54,Slot 59,
24,Slot 9,Slot 10,Slot 31
25,Slot 6,Slot 14,Slot 17
26,Slot 24,Slot 34,Slot 54
27,Slot 2,Slot 22,
28,Slot 4,Slot 9,Slot 20
29,Slot 8,Slot 23,
30,Slot 2,Slot 19,
31,Slot 21,Slot 31,
32,Slot 35,Slot 57,Slot 65
33,Slot 16,Slot 44,
34,Slot 7,Slot 28,Slot 63
35,Slot 18,Slot 29,Slot 66
36,Slot 38,Slot 50,Slot 51
37,Slot 11,Slot 12,
38,Slot 17,Slot 45,
39,Slot 15,Slot 49,Slot 52
40,Slot 41,Slot 44,Slot 56
41,Slot 5,Slot 13,Slot 38
42,Slot 24,Slot 59,Slot 62
43,Slot 6,Slot 26,Slot 32
44,Slot 3,Slot 5,Slot 26
45,Slot 20,Slot 47,Slot 55
46,Slot 3,Slot 10,Slot 65
47,Slot 45,Slot 61,Slot 67
48,Slot 49,Slot 56,
49,Slot 1,Slot 36,Slot 55
50,Slot 34,Slot 43,Slot 46
