student,slot 1,slot 2,slot 3
1,Slot 45,Slot 46,Slot 62
2,Slot 6,Slot 37,
3,Slot 13,Slot 39,
4,Slot 18,Slot 19,
5,Slot 15,Slot 16,
6,Slot 27,Slot 28,
7,Slot 16,Slot 17,
8,Slot 28,Slot 36,
9,Slot 23,Slot 25,
10,Slot 56,Slot 58,Slot 59
11,Slot 50,Slot 51,Slot 66
12,Slot 7,Slot 49,Slot 54
13,Slot 63,Slot 64,Slot 65
14,Slot 43,Slot 44,
15,Slot 4,Slot 57,
16,Slot 40,Slot 48,
17,Slot 8,Slot 60,
18,Slot 37,Slot 47,
19,Slot 38,Slot 55,
20,Slot 35,Slot 61,
21,Slot 9,Slot 35,
22,Slot 33,Slot 52,
23,Slot 33,Slot 53,
24,Slot 5,Slot 42,
25,Slot 31,Slot 67,
26,Slot 40,Slot 41,
27,Slot 42,Slot 43,
28,Slot 38,Slot 41,
29,Slot 4,Slot 24,
30,Slot 31,Slot 32,
31,Slot 3,Slot 26,
32,Slot 1,Slot 12,
33,Slot 2,Slot 13,
34,Slot 14,Slot 18,
35,Slot 3,Slot 30,
36,Slot 14,Slot 15,
37,Slot 10,Slot 29,
38,Slot 23,Slot 36,
39,Slot 11,Slot 24,
40,Slot 20,Slot 21,
41,Slot 10,Slot 11,
42,Slot 26,Slot 32,
43,Slot 2,Slot 20,
44,Slot 12,Slot 17,
45,Slot 22,Slot 34,
46,Slot 1,Slot 19,
47,Slot 27,Slot 30,
48,Slot 21,Slot 22,
49,Slot 34,Slot 39,
50,Slot 25,Slot 29,
