student,slot 1,slot 2,slot 3
1,Slot 28,Slot 29,
2,Slot 44,Slot 45,
3,Slot 9,Slot 15,Slot 40
4,Slot 20,Slot 21,Slot 66
5,Slot 18,Slot 28,Slot 48
6,Slot 6,Slot 27,Slot 31
7,Slot 3,Slot 27,Slot 43
8,Slot 24,Slot 30,Slot 52
9,Slot 29,Slot 34,Slot 61
10,Slot 35,Slot 57,
11,Slot 12,Slot 56,Slot 62
12,Slot 37,Slot 55,Slot 67
13,Slot 56,Slot 58,Slot 60
14,Slot 5,Slot 25,Slot 55
15,Slot 26,Slot 37,Slot 66
16,Slot 30,Slot 42,Slot 51
17,Slot 19,Slot 38,Slot 44
18,Slot 4,Slot 36,Slot 47
19,Slot 4,Slot 7,Slot 41
20,Slot 2,Slot 32,
21,Slot 13,Slot 67,
22,Slot 11,Slot 42,Slot 62
23,Slot 50,Slot 54,
24,Slot 3,Slot 10,Slot 65
25,Slot 12,Slot 13,Slot 57
26,Slot 24,Slot 39,Slot 49
27,Slot 15,Slot 16,
28,Slot 9,Slot 18,Slot 36
29,Slot 8,Slot 22,
30,Slot 16,Slot 17,
31,Slot 19,Slot 33,
32,Slot 6,Slot 38,Slot 47
33,Slot 20,Slot 51,
34,Slot 7,Slot 33,Slot 64
35,Slot 21,Slot 35,Slot 64
36,Slot 40,Slot 59,
37,Slot 1,Slot 10,
38,Slot 14,Slot 46,
39,Slot 5,Slot 14,
40,Slot 41,Slot 53,Slot 58
41,Slot 22,Slot 39,Slot 52
42,Slot 23,Slot 61,Slot 63
43,Slot 8,Slot 23,Slot 49
44,Slot 25,Slot 34,Slot 48
45,Slot 2,Slot 45,Slot 54
46,Slot 11,Slot 26,Slot 65
47,Slot 17,Slot 59,Slot 63
48,Slot 43,Slot 50,
49,Slot 1,Slot 32,Slot 53
50,Slot 31,Slot 46,Slot 60
