student,slot 1,slot 2,slot 3
1,Slot 11,Slot 26,
2,Slot 2,Slot 36,Slot 42
3,Slot 27,Slot 33,Slot 58
4,Slot 7,Slot 13,
5,Slot 18,Slot 24,Slot 60
6,Slot 31,Slot 43,Slot 48
7,Slot 23,Slot 25,Slot 40
8,Slot 25,Slot 26,Slot 55
9,Slot 9,Slot 29,Slot 35
10,Slot 29,Slot 67,
11,Slot 3,Slot 57,Slot 62
12,Slot 30,Slot 50,Slot 63
13,Slot 5,Slot 51,Slot 64
14,Slot 31,Slot 39,Slot 53
15,Slot 32,Slot 35,
16,Slot 28,Slot 49,Slot 50
17,Slot 30,Slot 34,Slot 49
18,Slot 38,Slot 39,Slot 43
19,Slot 37,Slot 38,Slot 63
20,Slot 12,Slot 46,Slot 65
21,Slot 6,Slot 56,
22,Slot 52,Slot 65,Slot 66
23,Slot 41,Slot 42,Slot 59
24,Slot 22,Slot 45,
25,Slot 1,Slot 14,Slot 40
26,Slot 15,Slot 19,Slot 54
27,Slot 20,Slot 21,
28,Slot 1,Slot 17,
29,Slot 6,Slot 13,
30,Slot 21,Slot 45,
31,Slot 7,Slot 27,Slot 61
32,Slot 8,Slot 28,Slot 37
33,Slot 22,Slot 44,
34,Slot 14,Slot 58,
35,Slot 9,Slot 16,Slot 19
36,Slot 52,Slot 54,Slot 61
37,Slot 12,Slot 48,
38,Slot 4,Slot 51,
39,Slot 2,Slot 10,
40,Slot 16,Slot 47,Slot 55
41,Slot 33,Slot 41,Slot 59
42,Slot 8,Slot 56,Slot 64
43,Slot 5,Slot 17,Slot 36
44,Slot 18,Slot 23,Slot 57
45,Slot 4,Slot 20,Slot 24
46,Slot 11,Slot 15,Slot 67
47,Slot 34,Slot 60,Slot 66
48,Slot 46,Slot 53,
49,Slot 10,Slot 32,Slot 62
50,Slot 3,Slot 44,Slot 47
